Mängija: Võit! (20 punkti)
Dez: Loss (26 punkti)
Dez: BLACKJACK (21 punkti)
Dez: Loss (13 punkti)
Dez: Victory (20 punkti)
Dez: Loss (25 punkti)
Dez: Loss (34 punkti)
Dez: Loss (40 punkti)
Dez: Loss (47 punkti)
Dez: Loss (53 punkti)
Dez: BLACKJACK (21 punkti)
Dez: Loss (17 punkti)
Player: BLACKJACK (21 punkti)
Player: Victory (20 punkti)
Player: Loss (19 punkti)
Player: Draw (20 punkti)
Player: Loss (25 punkti)
Kirill: Loss (17 punkti)
Kirill: Loss (27 punkti)
Kirill: Loss (37 punkti)
Kirill: Loss (28 punkti)
